search_term,extractor_key,channel_id,channel,uploader_url,id,url,title,description,duration,view_count
"""javier milei""",YoutubeSearchURL,UCR9120YBAqMfntqgRTKmkjQ,A24com,https://www.youtube.com/@A24com,I104odtdm3E,https://www.youtube.com/watch?v=I104odtdm3E,"🔴 Javier Milei: ""Al único que rescato de JxC es a Macri""",,3094.0,68738
"""javier milei""",YoutubeSearchURL,UCba3hpU7EFBSk817y9qZkiA,LA NACION,https://www.youtube.com/@lanacion,_or7WsE9CpU,https://www.youtube.com/watch?v=_or7WsE9CpU,La entrevista completa de Javier Milei con Jonatan Viale,,3483.0,2081495
"""javier milei""",YoutubeSearchURL,UCwKZnJ48oXRCCGCQbL1BPSA,Javier Milei,https://www.youtube.com/@JavierMileiOK,4GexQQt27Rs,https://www.youtube.com/watch?v=4GexQQt27Rs,Javier Milei con Majul en LN+🔴 En Vivo 🔴,,3373.0,17032
"""javier milei""",YoutubeSearchURL,UCWSfXECGo1qK_H7SXRaUSMg,GELATINA,https://www.youtube.com/@SomosGelatina,m3zz81uL1w8,https://www.youtube.com/watch?v=m3zz81uL1w8,ELIJO CREER #61 | JAVIER MILEI YA GANÓ,,2831.0,14546
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,puMpggVinc8,https://www.youtube.com/watch?v=puMpggVinc8,MILEI PUSO LOS HUEV0S FRENTE AL CAMPO Y DIO EL MEJOR DISCURSO DE SU VIDA,,2112.0,742423
"""javier milei""",YoutubeSearchURL,UCj6PcyLvpnIRT_2W_mwa9Aw,Todo Noticias,https://www.youtube.com/@todonoticias,p0PBlPahP_Q,https://www.youtube.com/watch?v=p0PBlPahP_Q,Javier Milei en A DOS VOCES (Programa completo del  26/04/2023),,3308.0,371174
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,_GLS3TY0w5I,https://www.youtube.com/watch?v=_GLS3TY0w5I,MILEI DESBURRÓ A PERIODISTA INSOPORTABLE,,3414.0,1115499
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,RY1PbmCqfGo,https://www.youtube.com/watch?v=RY1PbmCqfGo,MILEI CRUZÓ A UNA PERIODISTA RE ZARPADA,,2061.0,474687
"""javier milei""",YoutubeSearchURL,UCba3hpU7EFBSk817y9qZkiA,LA NACION,https://www.youtube.com/@lanacion,-3Omv2x3fAw,https://www.youtube.com/watch?v=-3Omv2x3fAw,"Javier Milei: ""La hiperinflación está a la vuelta de la esquina""",,2034.0,58813
"""javier milei""",YoutubeSearchURL,UCP391YRAjSOdM_bwievgaZA,Jovem Pan News,https://www.youtube.com/@jovempannews,XXq_BJrVpkI,https://www.youtube.com/watch?v=XXq_BJrVpkI,Javier Milei pode ser considerado o Bolsonaro argentino? | LINHA DE FRENTE,,1751.0,367394
